subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
4012,106,215,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.215
4012,108,0,0.5,0.5,0,0,0,Cntrl ,NA   ,0.5,0
4012,110,193,0.5,0.5,0,0,0,Cntrl ,NoLoss,0.5,0.193
4012,112,435,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.435
4012,114,200,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.2
4012,116,350,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.35
4012,118,483,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.483
4012,120,266,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.266
4012,122,209,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.209
4012,124,212,0.5,0.5,0,0,0,Cntrl ,NoLoss,0.5,0.212
4012,126,198,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.198
4012,128,204,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.204
4012,130,244,0.5,0.5,0,0,0,Cntrl ,NoLoss,0.5,0.244
4012,132,213,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.213
4012,134,221,0.5,0.5,0,0,0,Cntrl ,NoLoss,0.5,0.221
4012,136,216,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.216
4012,138,262,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.262
4012,140,414,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.414
4012,142,370,0.5,0.5,0,0,0,Gain  ,NoLoss,0.5,0.37
4012,144,188,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.188
4012,146,214,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.214
4012,148,267,0.5,0.5,0,0,0,NoLoss,Gain  ,0.5,0.267
4012,150,350,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.35
4012,152,206,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.206
4012,154,476,0.5,0.5,0,1,0,NoLoss,NoLoss,0.5,0.476
4012,156,357,0.5,0.5,0,0,0,Gain  ,NoLoss,0.5,0.357
4012,158,233,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.233
4012,160,416,0.5,0.5,0,0,0,NoLoss,Gain  ,0.5,0.416
4012,162,234,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.234
4012,164,227,0.5,0.5,0,0,0,Gain  ,NoLoss,0.5,0.227
4012,166,222,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.222
4012,168,206,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.206
4012,170,209,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.209
4012,172,263,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.263
4012,174,441,0.5,0.5,0,1,0,Gain  ,Gain  ,0.5,0.441
4012,176,365,0.5,0.5,0,1,1,Gain  ,Gain  ,0.5,0.365
4012,178,202,0.5,0.5,0,0,0,Cntrl ,Gain  ,0.5,0.202
4012,180,218,0.5,0.5,0,1,1,NoLoss,NoLoss,0.5,0.218
6013,2,474,1,1,0,1,0,NoLoss,NoLoss,1,0.474
6013,4,343,1,1,0,0,0,NoLoss,Cntrl ,1,0.343
6013,6,234,1,1,0,1,1,Gain  ,Gain  ,1,0.234
6013,8,0,1,1,0,0,0,Cntrl ,NA   ,1,0
6013,10,0,1,1,0,0,0,Cntrl ,NA   ,1,0
6013,12,0,1,1,0,0,0,NoLoss,NA   ,1,0
6013,14,392,1,1,0,1,1,Cntrl ,Cntrl ,1,0.392
6013,16,340,1,1,0,1,1,Cntrl ,Cntrl ,1,0.34
6013,18,400,1,1,0,1,0,NoLoss,NoLoss,1,0.4
